code,date,number 1,number 2,number 3,number 4,number 5,number 6
217,20/12/2018,8,17,24,33,34,44
218,22/12/2018,3,8,16,35,39,52
219,25/12/2018,3,9,17,21,23,51
220,27/12/2018,5,20,33,42,43,50
221,29/12/2018,8,36,42,43,50,52
222,01/01/2019,2,19,21,27,37,46
223,03/01/2019,23,31,37,45,49,54
224,05/01/2019,10,11,38,47,53,55
225,08/01/2019,3,5,9,11,45,48
226,10/01/2019,12,22,31,35,40,47
227,12/01/2019,7,13,14,26,42,54
228,15/01/2019,4,6,13,22,29,30
229,17/01/2019,13,14,22,34,35,55
230,19/01/2019,13,29,42,46,51,53
231,22/01/2019,1,14,22,40,52,55
232,24/01/2019,31,35,38,44,49,55
233,26/01/2019,20,27,33,43,53,54
234,29/01/2019,15,20,26,41,45,55
235,31/01/2019,10,19,20,28,34,44
236,02/02/2019,11,23,27,35,36,46
237,07/02/2019,20,27,28,32,47,50
238,09/02/2019,2,14,15,44,46,50
239,12/02/2019,1,12,17,34,48,49
240,14/02/2019,8,15,26,41,43,53
241,16/02/2019,5,8,14,28,37,40
242,19/02/2019,12,18,22,29,32,52
243,21/02/2019,3,10,11,15,29,34
244,23/02/2019,16,19,30,39,43,52
245,26/02/2019,8,9,16,34,42,43
246,28/02/2019,4,15,19,34,40,42
247,02/03/2019,1,2,3,20,46,48
248,05/03/2019,1,15,23,51,53,55
249,07/03/2019,2,14,20,33,41,47
250,09/03/2019,18,24,31,34,35,44
251,12/03/2019,9,16,26,34,44,49
252,14/03/2019,18,21,25,35,44,53
253,16/03/2019,10,18,22,24,35,40
254,19/03/2019,8,28,32,35,40,45
255,21/03/2019,7,18,32,42,46,53
256,23/03/2019,3,9,30,41,46,52
257,26/03/2019,15,19,28,40,44,48
258,28/03/2019,3,23,37,43,44,49
259,30/03/2019,3,15,18,35,50,54
260,02/04/2019,1,4,9,20,22,26
261,04/04/2019,16,26,29,38,47,51
262,06/04/2019,1,20,30,41,46,50
263,09/04/2019,10,14,19,36,48,49
264,11/04/2019,1,8,31,32,37,55
265,13/04/2019,9,13,20,21,36,43
266,16/04/2019,16,29,32,33,52,53
267,18/04/2019,7,8,15,24,26,48
